Alfa Beta Gama
0	51	43
0	58	59
1	49	47
0	60	59
1	54	54
0	53	53
1	64	48
0	47	51
0	47	48
0	44	52
0	57	46
1	60	51
0	58	54
0	45	55
2	62	58
0	56	53
0	46	41
1	69	58
0	49	43
0	56	57
0	58	36
0	46	51
0	44	46
0	58	41
0	58	39
0	62	57
1	57	43
0	43	51
0	51	57
0	59	42
0	68	56
1	63	55
0	43	50
0	50	49
1	49	36
2	53	44
0	53	53
0	58	43
0	45	53
0	46	43
0	51	48
1	59	43
1	55	50
0	65	61
0	58	41
1	68	44
1	49	44
0	52	50
0	46	55
0	54	57
0	49	45
0	53	63
0	56	46
0	47	52
0	38	40
0	61	55
1	62	55
2	51	39
0	55	39
0	62	42
0	50	53
1	58	50
2	49	56
0	50	43
2	51	57
1	61	58
0	62	53
1	53	70
0	50	54
0	54	66
3	50	54
0	56	50
0	55	48
0	70	47
0	49	55
0	66	57
0	62	56
0	66	49
3	38	55
1	58	39
1	57	44
1	57	49
1	61	50
1	52	54
0	62	56
0	49	45
1	68	61
2	55	50
0	66	49
0	62	50

